id	nimi	maa	luokka	lat	lon	lahde	lauta_lat	lauta_lon	poikkeama_km	huomio
birdsville	Birdsville	AUS	piste	-25.899	139.352	Wikidata Q865118 P625 (en-wiki: Birdsville)	-25.900	139.400	5	ei fi-artikkelia nimellä "Birdsville"; vartio mittaa en-wikin kautta
exmouth	Exmouth	AUS	piste	-21.933	114.128	Wikidata Q1383990 P625 (en-wiki: Exmouth, Western Australia)	-22.299	114.899	89	Fablen päätös 23.9.: korjataan pallopiste tässä erässä (89 km); ei fi-artikkelia nimellä "Exmouth, Western Australia"; vartio mittaa en-wikin kautta
mountisa	Mount Isa	AUS	piste	-20.725	139.495	Wikidata Q606335 P625 (fi-wiki: Mount Isa)	-20.700	139.499	3	
cooberpedy	Coober Pedy	AUS	piste	-29.014	134.755	Wikidata Q779188 P625 (en-wiki: Coober Pedy)	-29.000	134.801	5	ei fi-artikkelia nimellä "Coober Pedy"; vartio mittaa en-wikin kautta
sepik	Sepik	PNG	alue	-4.500	143.201	laudan piste (laudaltaAsteiksi, laudan tarkoittama kohta); viitteeksi Wikidata Q848308 P625 (fi-wiki: Sepik): -3.842, 144.539 (alueen keskipiste)	-4.500	143.201	165	alue: Wikidatan piste on keskipiste; 7.9. linjaus: alueita ei siirretä pallolla
honiara	Honiara	SLB	piste	-9.433	159.950	Wikidata Q40921 P625 (fi-wiki: Honiara)	-9.399	159.899	7	
portvila	Port Vila	VUT	piste	-17.733	168.317	Wikidata Q37806 P625 (fi-wiki: Port Vila)	-17.700	168.299	4	
noumea	Nouméa	FRA	piste	-22.267	166.450	Wikidata Q9733 P625 (fi-wiki: Nouméa)	-22.199	166.400	9	
norfolk	Norfolk	AUS	piste	-29.033	167.950	Wikidata Q31057 P625 (fi-wiki: Norfolkinsaari)	-29.049	167.951	2	pistemäinen kohde (external territory of Australia)
auckland	Auckland	NZL	piste	-36.849	174.765	Wikidata Q37100 P625 (fi-wiki: Auckland)	-36.899	174.800	6	
dunedin	Dunedin	NZL	piste	-45.874	170.504	Wikidata Q133073 P625 (fi-wiki: Dunedin (Uusi-Seelanti))	-45.870	170.501	1	
bali	Bali	IDN	alue	-8.500	115.100	laudan piste (laudaltaAsteiksi, laudan tarkoittama kohta); viitteeksi Wikidata Q4648 P625 (fi-wiki: Bali): -8.356, 115.072 (alueen keskipiste)	-8.500	115.100	16	alue: Wikidatan piste on keskipiste; 7.9. linjaus: alueita ei siirretä pallolla
